IFID,pairID,Relation,ClusterID,CFID,SpaceGroup,CrystForm,PdbID,DomainInterfaceID,SurfaceArea,InterfaceUnit,ChainPfamArch,InAsu,InPdb,InPisa,ASU,PDBBA,PDBBAID,PISABA,PISABAID,UnpCode,#CfgCluster,#EntryCluster,MinSeqIdentity,#CfgRelation,#EntryRelation,#EntryHomo,#EntryHetero,#EntryIntra,ClusterInterface,MediumSurfaceArea,Name,Species,chainA,chainB
IF314,(AAA_2)(Proteasome),338,1,2,P 21 21 2,A12B12,1g3i,10,106.6,AB ,(AAA_16)_(AAA_2)_(ClpB_D2-small);(Proteasome),1,1,1,A12B12,A12B12,1,A12B12,1,HSLU_HAEIN;HSLV_HAEIN,,,,,,,,,,,HSLU;HSLV,Haemophilus influenzae;Haemophilus influenzae,A,G
IF326,(AAA_2)(Proteasome),338,1,5,P 3 2 1,A4B4,1g4b,13,315.85,AB ,(Proteasome);(Torsin)_(AAA_2)_(CbbQ_C),1,1,0,A4B4,A12B12,1,-,-1,HSLV_ECOLI;HSLU_ECOLI,,,,,,,,,,,HEAT SHOCK LOCUS HSLV PEPTIDASE;HEAT SHOCK LOCUS HSLU ATPASE,Escherichia coli;Escherichia coli,M,F
IF315,(AAA_2)(Proteasome),338,1,2,P 21 21 2,A12B12,1kyi,12,110,AB ,(AAA_16)_(AAA_2)_(ClpB_D2-small);(Proteasome),1,1,1,A12B12,A12B12,1,A12B12,1,HSLU_HAEIN;HSLV_HAEIN,,,,,,,,,,,HSLU;HSLV,Haemophilus influenzae;Haemophilus influenzae,A,G
IF327,(AAA_2)(Proteasome),338,2,2,P 21 21 2,A12B12,1kyi,76,117.35,AB ,(AAA_16)_(AAA_2)_(ClpB_D2-small);(Proteasome),1,1,1,A12B12,A12B12,1,A12B12,1,HSLU_HAEIN;HSLV_HAEIN,,,,,,,,,,,HSLU;HSLV,Haemophilus influenzae;Haemophilus influenzae,X,M
IF320,(AAA_2)(Proteasome),338,1,3,P 6,A6B3(2),1ofh,1,242.1,AB ,(AAA_2)_(ClpB_D2-small);(Proteasome),1,1,1,A6B3,A12B6,1,A12B6,1,HSLU_HAEIN;HSLV_HAEIN,,,,,,,,,,,ATP-DEPENDENT HSL PROTEASE ATP-BINDING SUBUNIT HSLU;ATP-DEPENDENT PROTEASE HSLV,HAEMOPHILUS INFLUENZAE;HAEMOPHILUS INFLUENZAE,A,G
IF333,(AAA_2)(Proteasome),338,2,3,P 6,A6B3(2),1ofh,11,111.8,AB ,(AAA_2)_(ClpB_D2-small);(Proteasome),0,1,1,A6B3,A12B6,1,A12B6,1,HSLU_HAEIN;HSLV_HAEIN,,,,,,,,,,,ATP-DEPENDENT HSL PROTEASE ATP-BINDING SUBUNIT HSLU;ATP-DEPENDENT PROTEASE HSLV,HAEMOPHILUS INFLUENZAE;HAEMOPHILUS INFLUENZAE,B,I
IF336,(AAA_2)(Proteasome),338,3,3,P 6,A6B3(2),1ofh,29,105.6,AB ,(AAA_2)_(ClpB_D2-small);(Proteasome),0,0,0,A6B3,A12B6,1,A12B6,1,HSLU_HAEIN;HSLV_HAEIN,,,,,,,,,,,ATP-DEPENDENT HSL PROTEASE ATP-BINDING SUBUNIT HSLU;ATP-DEPENDENT PROTEASE HSLV,HAEMOPHILUS INFLUENZAE;HAEMOPHILUS INFLUENZAE,B,M
IF341,(AAA_2)(Proteasome),338,4,3,P 6,A6B3(2),1ofh,36,107.2,AB ,(AAA_2)_(ClpB_D2-small);(Proteasome),0,0,0,A6B3,A12B6,1,A12B6,1,HSLU_HAEIN;HSLV_HAEIN,,,,,,,,,,,ATP-DEPENDENT HSL PROTEASE ATP-BINDING SUBUNIT HSLU;ATP-DEPENDENT PROTEASE HSLV,HAEMOPHILUS INFLUENZAE;HAEMOPHILUS INFLUENZAE,A,L
IF323,(AAA_2)(Proteasome),338,1,3,P 6,A6B3(1),1ofi,1,137.2,AB ,(AAA_2)_(ClpB_D2-small);(Proteasome),1,1,1,A6B3,A12B6,1,A12B6,1,HSLU_HAEIN;HSLV_HAEIN,,,,,,,,,,,ATP-DEPENDENT HSL PROTEASE ATP-BINDING SUBUNIT HSLU;ATP-DEPENDENT PROTEASE HSLV,HAEMOPHILUS INFLUENZAE;HAEMOPHILUS INFLUENZAE,A,G
IF338,(AAA_2)(Proteasome),338,3,3,P 6,A6B3(1),1ofi,27,108.55,AB ,(AAA_2)_(ClpB_D2-small);(Proteasome),0,0,0,A6B3,A12B6,1,A12B6,1,HSLU_HAEIN;HSLV_HAEIN,,,,,,,,,,,ATP-DEPENDENT HSL PROTEASE ATP-BINDING SUBUNIT HSLU;ATP-DEPENDENT PROTEASE HSLV,HAEMOPHILUS INFLUENZAE;HAEMOPHILUS INFLUENZAE,B,M
IF342,(AAA_2)(Proteasome),338,4,3,P 6,A6B3(1),1ofi,26,123.25,AB ,(AAA_2)_(ClpB_D2-small);(Proteasome),0,0,0,A6B3,A12B6,1,A12B6,1,HSLU_HAEIN;HSLV_HAEIN,,,,,,,,,,,ATP-DEPENDENT HSL PROTEASE ATP-BINDING SUBUNIT HSLU;ATP-DEPENDENT PROTEASE HSLV,HAEMOPHILUS INFLUENZAE;HAEMOPHILUS INFLUENZAE,C,M
IF387,(ACP)(Mal_decarbox_Al),24217,1,1,P 1,A4B4C4D4,5vit,1,775.85,AB ,(Mal_decarbox_Al);(ACP),1,1,1,A4B4C4D4,ABCD,1,A2B2C2D2,1,Q9I6T0_PSEAE;MDCC_PSEF5,,,,,,,,,,,"MALONATE DECARBOXYLASE ALPHA SUBUNIT;MALONATE DECARBOXYLASE ACYL CARRIER PROTEIN, MALONATE DECARBOXYLASE SUBUNIT DELTA",Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1);Pseudomonas fluorescens (strain ATCC BAA-477 / NRRL B-23932 / Pf-5),C,A
IF391,(ACP)(Mal_decarbox_Al),24217,1,1,P 1 21 1,A2B2C2D2,5vj1,1,832.1,AB ,(Mal_decarbox_Al);(ACP),1,1,1,A2B2C2D2,ABCD,1,A2B2C2D2,1,Q9I6T0_PSEAE;MDCC_PSEF5,,,,,,,,,,,"MALONATE DECARBOXYLASE ALPHA SUBUNIT;MALONATE DECARBOXYLASE ACYL CARRIER PROTEIN, MALONATE DECARBOXYLASE SUBUNIT DELTA",Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1);Pseudomonas fluorescens (strain ATCC BAA-477 / NRRL B-23932 / Pf-5),C,A
IF845,(AdenylateSensor)(AMPKBI),1509,1,5,P 21 21 21,A2B2C2,2oox,1,1707.8,AB,(AdenylateSensor);(AMPKBI),1,1,1,A2B2C2,A2B2C2,1,ABC,1,SNF1_SCHPO;AAKB_SCHPO,,,,,,,,,,,SNF1-like protein kinase ssp2;SPCC1919.03c protein,Schizosaccharomyces pombe;Schizosaccharomyces pombe,A,B
IF798,(AdenylateSensor)(AMPKBI),1509,1,4,C 1 2 1,A2B2C2,2ooy,1,1644.2,AB,(AdenylateSensor);(AMPKBI),1,1,1,A2B2C2,A2B2C2,1,A2B2C2,1,SNF1_SCHPO;AAKB_SCHPO,,,,,,,,,,,SNF1-like protein kinase ssp2;SPCC1919.03c protein,Schizosaccharomyces pombe;Schizosaccharomyces pombe,A,B
IF836,(AdenylateSensor)(AMPKBI),1509,1,1,C 1 2 1,A2B2C2,2qlv,1,1247.05,AB,(AdenylateSensor);(AMPK1_CBM)_(AMPKBI),1,1,1,A2B2C2,ABC,1,ABC,1,SNF1_YEAST;SIP2_YEAST,,,,,,,,,,,Carbon catabolite derepressing protein kinase;PROTEIN SPM2,Saccharomyces cerevisiae;Saccharomyces cerevisiae,A,B
IF841,(AdenylateSensor)(AMPKBI),1509,1,2,C 1 2 1,A2B2C2,2qr1,1,1648.7,AB,(AdenylateSensor);(AMPKBI),1,1,1,A2B2C2,ABC,1,A2B2C2,1,SNF1_SCHPO;AAKB_SCHPO,,,,,,,,,,,SNF1-like protein kinase ssp2;SPCC1919.03c protein,Schizosaccharomyces pombe;Schizosaccharomyces pombe,A,B
IF843,(AdenylateSensor)(AMPKBI),1509,1,2,C 1 2 1,A2B2C2,2qrc,1,1648.7,AB,(AdenylateSensor);(AMPKBI),1,1,1,A2B2C2,ABC,1,A2B2C2,1,SNF1_SCHPO;AAKB_SCHPO,,,,,,,,,,,SNF1-like protein kinase ssp2;SPCC1919.03c protein,Schizosaccharomyces pombe;Schizosaccharomyces pombe,A,B
IF838,(AdenylateSensor)(AMPKBI),1509,1,2,C 1 2 1,A2B2C2,2qrd,1,1565.6,AB,(AdenylateSensor);(AMPKBI),1,1,1,A2B2C2,ABC,1,A2B2C2,1,SNF1_SCHPO;AAKB_SCHPO,,,,,,,,,,,SNF1-like protein kinase ssp2;SPCC1919.03c protein,Schizosaccharomyces pombe;Schizosaccharomyces pombe,A,B
IF839,(AdenylateSensor)(AMPKBI),1509,1,2,C 1 2 1,A2B2C2,2qre,1,1559.65,AB,(AdenylateSensor);(AMPKBI),1,1,1,A2B2C2,ABC,1,A2B2C2,1,SNF1_SCHPO;AAKB_SCHPO,,,,,,,,,,,SNF1-like protein kinase ssp2;SPCC1919.03c protein,Schizosaccharomyces pombe;Schizosaccharomyces pombe,A,B
IF834,(AdenylateSensor)(AMPKBI),1509,1,6,P 21 21 21,ABC(4),2v8q,1,1253.35,AB,(AdenylateSensor);(AMPKBI),1,1,1,ABC,ABC,1,ABC,1,AAPK1_RAT;AAKB2_HUMAN,,,,,,,,,,,"AMP-ACTIVATED PROTEIN KINASE, AMPK ALPHA-1 CHAIN;AMP-ACTIVATED PROTEIN KINASE, AMPK BETA-2 CHAIN",RATTUS NORVEGICUS;HOMO SAPIENS,A,B
IF833,(AdenylateSensor)(AMPKBI),1509,1,6,P 21 21 21,ABC(2),2v92,1,1269.05,AB,(AdenylateSensor);(AMPKBI),1,1,1,ABC,ABC,1,ABC,1,AAPK1_RAT;AAKB2_HUMAN,,,,,,,,,,,"AMPK ALPHA-1 CHAIN, AMP-ACTIVATED PROTEIN KINASE;AMPK BETA-2 CHAIN, AMP-ACTIVATED PROTEIN KINASE",RATTUS NORVEGICUS;HOMO SAPIENS,A,B
IF832,(AdenylateSensor)(AMPKBI),1509,1,6,P 21 21 21,ABC(1),2v9j,1,1284.7,AB,(AdenylateSensor);(AMPKBI),1,1,1,ABC,ABC,1,ABC,1,AAPK1_RAT;AAKB2_HUMAN,,,,,,,,,,,"AMPK ALPHA-1 CHAIN, AMP-ACTIVATED PROTEIN KINASE;AMPK BETA-2 CHAIN, AMP-ACTIVATED PROTEIN KINASE",RATTUS NORVEGICUS;HOMO SAPIENS,A,B
IF831,(AdenylateSensor)(AMPKBI),1509,1,6,P 21 21 21,ABC(1),2y8l,1,1160.75,AB,(AdenylateSensor);(AMPKBI),1,1,1,ABC,ABC,1,ABC,1,AAPK1_RAT;AAKB2_HUMAN,,,,,,,,,,,AMPK SUBUNIT ALPHA-1;AMPK SUBUNIT BETA-2,RATTUS NORVEGICUS;HOMO SAPIENS,A,B
IF830,(AdenylateSensor)(AMPKBI),1509,1,6,P 21 21 21,ABC(5),2y8q,1,1152.7,AB,(AdenylateSensor);(AMPKBI),1,1,1,ABC,ABC,1,ABC,1,AAPK1_RAT;AAKB2_HUMAN,,,,,,,,,,,AMPK SUBUNIT ALPHA-1;AMPK SUBUNIT BETA-2,RATTUS NORVEGICUS;HOMO SAPIENS,A,B
IF829,(AdenylateSensor)(AMPKBI),1509,1,6,P 21 21 21,ABC(3),2ya3,1,1179.7,AB,(AdenylateSensor);(AMPKBI),1,1,1,ABC,ABC,1,ABC,1,AAPK1_RAT;AAKB2_HUMAN,,,,,,,,,,,AMPK SUBUNIT ALPHA-1;AMPK SUBUNIT BETA-2,RATTUS NORVEGICUS;HOMO SAPIENS,A,B
IF828,(AdenylateSensor)(AMPKBI),1509,1,3,C 2 2 21,ABC(2),3t4n,1,1746.2,AB,(AdenylateSensor);(AMPKBI),1,1,1,ABC,ABC,1,ABC,1,SNF1_YEAST;SIP2_YEAST,,,,,,,,,,,"Carbon catabolite-derepressing protein kinase;PROTEIN SPM2, SNF1-INTERACTING PROTEIN 2",Saccharomyces cerevisiae;Saccharomyces cerevisiae,A,B
IF826,(AdenylateSensor)(AMPKBI),1509,1,3,C 2 2 21,ABC(1),3tdh,1,1705.7,AB,(AdenylateSensor);(AMPKBI),1,1,1,ABC,ABC,1,ABC,1,SNF1_YEAST;SIP2_YEAST,,,,,,,,,,,"Carbon catabolite-derepressing protein kinase;PROTEIN SPM2, SNF1-INTERACTING PROTEIN 2",Saccharomyces cerevisiae;Saccharomyces cerevisiae,A,B
IF827,(AdenylateSensor)(AMPKBI),1509,1,3,C 2 2 21,ABC(1),3te5,1,1611.65,AB,(AdenylateSensor);(AMPKBI),1,1,1,ABC,ABC,1,ABC,1,SNF1_YEAST;SIP2_YEAST,,,,,,,,,,,"Carbon catabolite-derepressing protein kinase;PROTEIN SPM2, SNF1-INTERACTING PROTEIN 2",Saccharomyces cerevisiae;Saccharomyces cerevisiae,A,B
IF796,(AdenylateSensor)(AMPKBI),1509,1,10,P 1 21 1,A2B2C2,4cfe,3,918.4,AB,(AMPK1_CBM)_(AMPKBI);(Pkinase)_(AdenylateSensor),1,1,1,A2B2C2,ABC,1,ABC,1,AAKB1_HUMAN;AAPK2_HUMAN,,,,,,,,,,,"AMPK SUBUNIT BETA-1, AMPKB;AMPK SUBUNIT ALPHA-2, ACETYL-COA CARBOXYLASE KINASE, ACACA KINASE, HYDROXYMETHYLGLUTARYL-COA REDUCTASE KINASE, HMGCR KINASE",HOMO SAPIENS;HOMO SAPIENS,B,A
